Player,Gls,Ast,xG,xA,Season
Jordan Henderson,1,1,1,1.8,17/18
Dejan Lovren,2,1,1.5,0.3,17/18
Emre Can,3,4,1.6,2.9,17/18
Joël Matip,1,0,1.7,0.5,17/18
Andrew Robertson,1,5,0.6,3.3,17/18
Joe Gomez,0,2,0.3,1,17/18
Loris Karius,0,0,0,0,17/18
Simon Mignolet,0,0,0,0,17/18
Trent Alexander-Arnold,1,1,1.2,2.2,17/18
James Milner,0,3,1.1,3.5,17/18
Ragnar Klavan,1,0,0.7,0.1,17/18
Alex Oxlade-Chamberlain,3,7,2.4,4.1,17/18
Alberto Moreno,0,0,0.5,0.8,17/18
Virgil van Dijk,0,0,1.1,0.8,17/18
Philippe Coutinho,7,6,2.6,4.2,17/18
Dominic Solanke,1,1,2.9,2.1,17/18
Daniel Sturridge,2,1,2.6,0.9,17/18
Danny Ings,1,0,1.5,0.2,17/18
Nathaniel Clyne,0,0,0.1,0.1,17/18
Adam Lallana,0,0,1.4,0.4,17/18
Marko Grujić,0,0,0,0,17/18
Divock Origi,0,0,0,0,17/18
Ben Woodburn,0,0,0,0,17/18
Alisson,0,0,0,0,18/19
Virgil van Dijk,4,2,3.1,1.1,18/19
Mohamed Salah,22,8,18.5,8.9,18/19
Andrew Robertson,0,11,0.9,6.9,18/19
Sadio Mané,22,1,17.2,4.5,18/19
Georginio Wijnaldum,3,0,2.8,1.2,18/19
Roberto Firmino,12,6,13.3,5.8,18/19
Trent Alexander-Arnold,1,12,1.4,6.3,18/19
Fabinho,1,2,0.9,1.3,18/19
Jordan Henderson,1,3,1.5,1.5,18/19
James Milner,5,4,4,5.5,18/19
Joël Matip,1,0,0.5,0.1,18/19
Naby Keïta,2,1,2.4,1.2,18/19
Joe Gomez,0,0,0.3,0.3,18/19
Xherdan Shaqiri,6,3,3.8,2.1,18/19
Dejan Lovren,1,0,0.7,0.2,18/19
Adam Lallana,0,0,0.4,0.5,18/19
